# ============================================================
# FUSION DES PLANS (8 COLONNES) - 2026-08-24 18:47:06
# Colonnes : N° semaine;Jour;Date;Discipline;Type de séance;Détails;Durée (min);Journée type
# Nombre de fichiers fusionnes : 10
# ============================================================
N° semaine;Jour;Date;Discipline;Type de séance;Détails;Durée (min);Journée type
🟡S-06;Mardi;2026-09-29;CAP;VMA;VMA 700m x 6 @ 14.1 km/h (effort 02:58 / recup 175.0m x 01:22) - 17min d'intensité;45;🟥
🟡S-06;Mercredi;2026-09-30;Vélo;Seuil Z4;Seuil Z4 (180 min);180;🟨
🟡S-06;Jeudi;2026-10-01;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-06;*;2026-10-01;Natation;Récupération active;Récupération active (72 min);72;🟦
🟡S-06;*;2026-10-01;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
🔴S-05;Mardi;2026-10-06;CAP;Footing de récupération Z1;Footing de récupération Z1 (85 min);85;🟦
🔴S-05;*;2026-10-06;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
🔴S-05;Mercredi;2026-10-07;Vélo;Seuil Z4;Seuil Z4 (146 min);146;🟨
🔴S-05;Jeudi;2026-10-08;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🔴S-05;*;2026-10-08;Natation;Récupération active;Récupération active (72 min);72;🟦
⚪S-04;Mardi;2026-10-13;CAP;Footing de récupération Z1;Footing de récupération Z1 (35 min);35;🟦
⚪S-04;*;2026-10-13;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
⚪S-04;Mercredi;2026-10-14;Vélo;Seuil Z4;Seuil Z4 (80 min);80;🟨
⚪S-04;Jeudi;2026-10-15;Course;Compétition intermédiaire;Sprint de Chambéry 15/10;0;⭐
🟡S-03;Mardi;2026-10-20;CAP;VC;VC 2000m x 2 @ 10.2 km/h (effort 11:47 / recup 500.0m x 05:36) - 23min d'intensité;53;🟨
🟡S-03;Mercredi;2026-10-21;Vélo;Seuil Z4;Seuil Z4 (116 min);116;🟨
🟡S-03;Jeudi;2026-10-22;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (106 min);106;🟩
🟡S-03;*;2026-10-22;Natation;Récupération active;Récupération active (72 min);72;🟦
🟡S-03;*;2026-10-22;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
🔵S-02;Mardi;2026-10-27;CAP;Footing de récupération Z1;Footing de récupération Z1 (37 min);37;🟦
🔵S-02;Mercredi;2026-10-28;Vélo;Récupération active;Récupération active (52 min);52;🟦
🔵S-02;Jeudi;2026-10-29;CAP;Footing de récupération Z1;Footing de récupération Z1 (37 min);37;🟦
🔵S-02;*;2026-10-29;Natation;Récupération active;Récupération active (60 min);60;🟦
🔵S-01;Mardi;2026-11-03;CAP;Footing de récupération Z1;Footing de récupération Z1 (26 min);26;🟦
🔵S-01;Mercredi;2026-11-04;Vélo;Récupération active;Récupération active (52 min);52;🟦
🔵S-01;Jeudi;2026-11-05;CAP;Footing de récupération Z1;Footing de récupération Z1 (26 min);26;🟦
🔵S-01;*;2026-11-05;Natation;Récupération active;Récupération active (60 min);60;🟦
🔵S-00;Mardi;2026-11-10;CAP;Footing de récupération Z1;Footing de récupération Z1 (26 min);26;🟦
🔵S-00;Mercredi;2026-11-11;Vélo;Récupération active;Récupération active (52 min);52;🟦
🔵S-00;Jeudi;2026-11-12;CAP;Footing de récupération Z1;Footing de récupération Z1 (26 min);26;🟦
🔵S-00;*;2026-11-12;Natation;Récupération active;Récupération active (60 min);60;🟦
🔵S-00;Dimanche;2026-11-15;Course;Objectif;15/11/2026;0;⭐

# ============================================================
# FICHIER N°2 : Emma_DUBOIS_plan_20260824_184657.csv
# ============================================================
🟢S-16;Lundi;2026-08-24;Vélo;Endurance Z2;Endurance Z2 (80 min);80;🟩
🟢S-16;*;2026-08-24;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
🟢S-16;Mardi;2026-08-25;CAP;VC;VC 300m x 14 @ 15.8 km/h (effort 01:08 / recup 75.0m x 00:39) - 15min d'intensité;40;🟨
🟢S-16;Mercredi;2026-08-26;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
🟢S-16;Jeudi;2026-08-27;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟢S-16;Samedi;2026-08-29;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
🟢S-16;Dimanche;2026-08-30;CAP;Footing de récupération Z1;Footing de récupération Z1 (102 min);102;🟦
🟡S-15;Lundi;2026-08-31;Vélo;Endurance Z2;Endurance Z2 (112 min);112;🟩
🟡S-15;*;2026-08-31;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
🟡S-15;Mardi;2026-09-01;CAP;VMA;VMA 300m x 14 @ 15.7 km/h (effort 01:08 / recup 75.0m x 00:33) - 16min d'intensité;41;🟥
🟡S-15;Mercredi;2026-09-02;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
🟡S-15;Jeudi;2026-09-03;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-15;Samedi;2026-09-05;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
🟡S-15;Dimanche;2026-09-06;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-14;Lundi;2026-09-07;Vélo;Endurance Z2;Endurance Z2 (80 min);80;🟩
🟢S-14;*;2026-09-07;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
🟢S-14;Mardi;2026-09-08;CAP;VC;VC 500m x 8 @ 15.0 km/h (effort 02:00 / recup 125.0m x 01:05) - 16min d'intensité;39;🟨
🟢S-14;Mercredi;2026-09-09;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
🟢S-14;Jeudi;2026-09-10;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟢S-14;Samedi;2026-09-12;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
🟢S-14;Dimanche;2026-09-13;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦
⚪S-13;Lundi;2026-09-14;Vélo;Endurance Z2;Endurance Z2 (80 min);80;🟩
⚪S-13;*;2026-09-14;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
⚪S-13;Mardi;2026-09-15;Course;Compétition intermédiaire;5km Bruxelles 15/09;0;⭐
⚪S-13;Mercredi;2026-09-16;Natation;Endurance Z2;Endurance Z2 (85 min);85;🟩
⚪S-13;Jeudi;2026-09-17;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (82 min);82;🟩
⚪S-13;Samedi;2026-09-19;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
⚪S-13;Dimanche;2026-09-20;CAP;Footing de récupération Z1;Footing de récupération Z1 (58 min);58;🟦
🟡S-12;Lundi;2026-09-21;Vélo;Endurance Z2;Endurance Z2 (109 min);109;🟩
🟡S-12;*;2026-09-21;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
🟡S-12;Mardi;2026-09-22;CAP;VC;VC 700m x 6 @ 14.5 km/h (effort 02:54 / recup 175.0m x 01:31) - 17min d'intensité;45;🟨
🟡S-12;Mercredi;2026-09-23;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
🟡S-12;Jeudi;2026-09-24;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-12;Samedi;2026-09-26;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
🟡S-12;Dimanche;2026-09-27;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-11;Lundi;2026-09-28;Vélo;Endurance Z2;Endurance Z2 (142 min);142;🟩
🟢S-11;*;2026-09-28;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
🟢S-11;Mardi;2026-09-29;CAP;VMA;VMA 700m x 6 @ 15.1 km/h (effort 02:47 / recup 175.0m x 01:17) - 16min d'intensité;39;🟥
🟢S-11;Mercredi;2026-09-30;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
🟢S-11;Jeudi;2026-10-01;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟢S-11;Samedi;2026-10-03;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
🟢S-11;Dimanche;2026-10-04;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-10;Lundi;2026-10-05;Vélo;Endurance Z2;Endurance Z2 (104 min);104;🟩
🟡S-10;*;2026-10-05;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
🟡S-10;Mardi;2026-10-06;CAP;VC;VC 1000m x 4 @ 13.7 km/h (effort 04:23 / recup 250.0m x 02:10) - 17min d'intensité;45;🟨
🟡S-10;Mercredi;2026-10-07;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
🟡S-10;Jeudi;2026-10-08;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-10;Samedi;2026-10-10;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
🟡S-10;Dimanche;2026-10-11;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
⚪S-09;Lundi;2026-10-12;Vélo;Endurance Z2;Endurance Z2 (80 min);80;🟩
⚪S-09;*;2026-10-12;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
⚪S-09;Mardi;2026-10-13;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦
⚪S-09;Mercredi;2026-10-14;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
⚪S-09;Jeudi;2026-10-15;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
⚪S-09;Samedi;2026-10-17;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
⚪S-09;Dimanche;2026-10-18;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦
🟢S-08;Lundi;2026-10-19;Vélo;Endurance Z2;Endurance Z2 (96 min);96;🟩
🟢S-08;*;2026-10-19;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
🟢S-08;Mardi;2026-10-20;Course;Compétition intermédiaire;10km Namur 20/10;0;⭐
🟢S-08;Mercredi;2026-10-21;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
🟢S-08;Jeudi;2026-10-22;CAP;VC;VC 2000m x 3 @ 13.1 km/h (effort 09:08 / recup 500.0m x 04:20) - 27min d'intensité;55;🟨
🟢S-08;Samedi;2026-10-24;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
🟢S-08;Dimanche;2026-10-25;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-07;Lundi;2026-10-26;Vélo;Endurance Z2;Endurance Z2 (149 min);149;🟩
🟡S-07;*;2026-10-26;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
🟡S-07;Mardi;2026-10-27;CAP;VMA;VMA 2000m x 3 @ 14.1 km/h (effort 08:30 / recup 500.0m x 03:42) - 25min d'intensité;56;🟥
🟡S-07;Mercredi;2026-10-28;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
🟡S-07;Jeudi;2026-10-29;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-07;Samedi;2026-10-31;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
🟡S-07;Dimanche;2026-11-01;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🔴S-06;Lundi;2026-11-02;Vélo;Endurance Z2;Endurance Z2 (135 min);135;🟩
🔴S-06;*;2026-11-02;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
🔴S-06;Mardi;2026-11-03;CAP;VC;VC 2800m x 2 @ 12.9 km/h (effort 13:04 / recup 700.0m x 06:05) - 26min d'intensité;63;🟨
🔴S-06;Mercredi;2026-11-04;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
🔴S-06;Jeudi;2026-11-05;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🔴S-06;Samedi;2026-11-07;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
🔴S-06;Dimanche;2026-11-08;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
⚪S-05;Lundi;2026-11-09;Vélo;Endurance Z2;Endurance Z2 (80 min);80;🟩
⚪S-05;*;2026-11-09;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
⚪S-05;Mardi;2026-11-10;CAP;Footing de récupération Z1;Footing de récupération Z1 (70 min);70;🟦
⚪S-05;Mercredi;2026-11-11;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
⚪S-05;Jeudi;2026-11-12;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (101 min);101;🟩
⚪S-05;Samedi;2026-11-14;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
⚪S-05;Dimanche;2026-11-15;CAP;Footing de récupération Z1;Footing de récupération Z1 (70 min);70;🟦
🟡S-04;Lundi;2026-11-16;Vélo;Endurance Z2;Endurance Z2 (118 min);118;🟩
🟡S-04;*;2026-11-16;Renforcement;Gainage;Gainage (30 min);30;🟩
🟡S-04;Mardi;2026-11-17;CAP;VC;VC 300m x 14 @ 15.8 km/h (effort 01:08 / recup 75.0m x 00:39) - 15min d'intensité;44;🟨
🟡S-04;Mercredi;2026-11-18;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
🟡S-04;Jeudi;2026-11-19;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-04;Samedi;2026-11-21;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
🟡S-04;Dimanche;2026-11-22;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-03;Lundi;2026-11-23;Vélo;Endurance Z2;Endurance Z2 (104 min);104;🟩
🟢S-03;*;2026-11-23;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
🟢S-03;Mardi;2026-11-24;CAP;VMA;VMA 300m x 14 @ 15.7 km/h (effort 01:08 / recup 75.0m x 00:33) - 16min d'intensité;38;🟥
🟢S-03;Mercredi;2026-11-25;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
🟢S-03;Jeudi;2026-11-26;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟢S-03;Samedi;2026-11-28;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
🟢S-03;Dimanche;2026-11-29;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🔵S-02;Lundi;2026-11-30;Vélo;Récupération active;Récupération active (52 min);52;🟦
🔵S-02;Mardi;2026-12-01;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-02;Mercredi;2026-12-02;Natation;Récupération active;Récupération active (60 min);60;🟦
🔵S-02;Jeudi;2026-12-03;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-02;Samedi;2026-12-05;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-02;Dimanche;2026-12-06;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-01;Lundi;2026-12-07;Vélo;Récupération active;Récupération active (52 min);52;🟦
🔵S-01;Mardi;2026-12-08;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-01;Mercredi;2026-12-09;Natation;Récupération active;Récupération active (60 min);60;🟦
🔵S-01;Jeudi;2026-12-10;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-01;Samedi;2026-12-12;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-01;Dimanche;2026-12-13;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-00;Lundi;2026-12-14;Vélo;Récupération active;Récupération active (52 min);52;🟦
🔵S-00;Mardi;2026-12-15;Course;Objectif;15/12/2026;0;⭐

# ============================================================
# FICHIER N°3 : Germain_Noyer_plan_20260824_184657.csv
# ============================================================
🟢S-64;Lundi;2026-08-24;CAP;VC;VC 300m x 15 @ 17.5 km/h (effort 01:01 / recup 75.0m x 00:36) - 15min d'intensité;39;🟨
🟢S-64;Mardi;2026-08-25;CAP;Footing de récupération Z1;Footing de récupération Z1 (102 min);102;🟦
🟢S-64;*;2026-08-25;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
🟢S-64;Jeudi;2026-08-27;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟢S-64;Dimanche;2026-08-30;CAP;Footing de récupération Z1;Footing de récupération Z1 (102 min);102;🟦
🟡S-63;Lundi;2026-08-31;CAP;VMA;VMA 300m x 17 @ 20.1 km/h (effort 00:53 / recup 75.0m x 00:26) - 15min d'intensité;40;🟥
🟡S-63;Mardi;2026-09-01;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-63;*;2026-09-01;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
🟡S-63;Jeudi;2026-09-03;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-63;Dimanche;2026-09-06;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-62;Lundi;2026-09-07;CAP;VC;VC 500m x 9 @ 16.7 km/h (effort 01:48 / recup 125.0m x 01:00) - 16min d'intensité;40;🟨
🟢S-62;Mardi;2026-09-08;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦
🟢S-62;*;2026-09-08;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
🟢S-62;Jeudi;2026-09-10;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟢S-62;Dimanche;2026-09-13;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦
⚪S-61;Lundi;2026-09-14;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (82 min);82;🟩
⚪S-61;*;2026-09-14;Renforcement;Gainage;Gainage (30 min);30;🟩
⚪S-61;Mardi;2026-09-15;CAP;Footing de récupération Z1;Footing de récupération Z1 (58 min);58;🟦
⚪S-61;Jeudi;2026-09-17;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (82 min);82;🟩
⚪S-61;Dimanche;2026-09-20;CAP;Footing de récupération Z1;Footing de récupération Z1 (58 min);58;🟦
🟡S-60;Lundi;2026-09-21;CAP;VC;VC 700m x 6 @ 16.1 km/h (effort 02:37 / recup 175.0m x 01:25) - 15min d'intensité;42;🟨
🟡S-60;Mardi;2026-09-22;CAP;Footing de récupération Z1;Footing de récupération Z1 (103 min);103;🟦
🟡S-60;*;2026-09-22;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
🟡S-60;Jeudi;2026-09-24;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-60;Dimanche;2026-09-27;CAP;Footing de récupération Z1;Footing de récupération Z1 (103 min);103;🟦
🟢S-59;Lundi;2026-09-28;CAP;VMA;VMA 700m x 7 @ 19.4 km/h (effort 02:10 / recup 175.0m x 01:02) - 15min d'intensité;37;🟥
🟢S-59;Mardi;2026-09-29;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-59;*;2026-09-29;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
🟢S-59;Jeudi;2026-10-01;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟢S-59;Dimanche;2026-10-04;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-58;Lundi;2026-10-05;CAP;VC;VC 1000m x 4 @ 15.2 km/h (effort 03:58 / recup 250.0m x 02:01) - 15min d'intensité;42;🟨
🟡S-58;Mardi;2026-10-06;CAP;Footing de récupération Z1;Footing de récupération Z1 (97 min);97;🟦
🟡S-58;*;2026-10-06;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
🟡S-58;Jeudi;2026-10-08;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-58;Dimanche;2026-10-11;CAP;Footing de récupération Z1;Footing de récupération Z1 (97 min);97;🟦
⚪S-57;Lundi;2026-10-12;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (82 min);82;🟩
⚪S-57;*;2026-10-12;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
⚪S-57;Mardi;2026-10-13;CAP;Footing de récupération Z1;Footing de récupération Z1 (58 min);58;🟦
⚪S-57;Jeudi;2026-10-15;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (82 min);82;🟩
⚪S-57;Dimanche;2026-10-18;CAP;Footing de récupération Z1;Footing de récupération Z1 (58 min);58;🟦
🟡S-56;Lundi;2026-10-19;CAP;VC;VC 2000m x 3 @ 14.7 km/h (effort 08:16 / recup 500.0m x 04:03) - 24min d'intensité;56;🟨
🟡S-56;Mardi;2026-10-20;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-56;*;2026-10-20;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
🟡S-56;Jeudi;2026-10-22;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-56;Dimanche;2026-10-25;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-55;Lundi;2026-10-26;CAP;VMA;VMA 2000m x 4 @ 18.3 km/h (effort 06:38 / recup 500.0m x 02:57) - 26min d'intensité;53;🟥
🟢S-55;Mardi;2026-10-27;CAP;Footing de récupération Z1;Footing de récupération Z1 (106 min);106;🟦
🟢S-55;*;2026-10-27;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
🟢S-55;Jeudi;2026-10-29;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟢S-55;Dimanche;2026-11-01;CAP;Footing de récupération Z1;Footing de récupération Z1 (106 min);106;🟦
🟡S-54;Lundi;2026-11-02;CAP;VC;VC 2800m x 2 @ 14.4 km/h (effort 11:49 / recup 700.0m x 05:40) - 23min d'intensité;55;🟨
🟡S-54;Mardi;2026-11-03;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-54;*;2026-11-03;Renforcement;Gainage;Gainage (30 min);30;🟩
🟡S-54;Jeudi;2026-11-05;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-54;Dimanche;2026-11-08;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
⚪S-53;Lundi;2026-11-09;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (82 min);82;🟩
⚪S-53;*;2026-11-09;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
⚪S-53;Mardi;2026-11-10;CAP;Footing de récupération Z1;Footing de récupération Z1 (58 min);58;🟦
⚪S-53;Jeudi;2026-11-12;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (82 min);82;🟩
⚪S-53;Dimanche;2026-11-15;CAP;Footing de récupération Z1;Footing de récupération Z1 (58 min);58;🟦
🟡S-52;Lundi;2026-11-16;CAP;VC;VC 300m x 15 @ 17.8 km/h (effort 01:01 / recup 75.0m x 00:36) - 15min d'intensité;42;🟨
🟡S-52;Mardi;2026-11-17;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-52;*;2026-11-17;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
🟡S-52;Jeudi;2026-11-19;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-52;Dimanche;2026-11-22;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-51;Lundi;2026-11-23;CAP;VMA;VMA 300m x 17 @ 20.4 km/h (effort 00:53 / recup 75.0m x 00:26) - 15min d'intensité;37;🟥
🟢S-51;Mardi;2026-11-24;CAP;Footing de récupération Z1;Footing de récupération Z1 (118 min);118;🟦
🟢S-51;*;2026-11-24;Renforcement;Gainage;Gainage (30 min);30;🟩
🟢S-51;Jeudi;2026-11-26;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
