N° semaine;Jour;Date;Discipline;Type de séance;Détails;Durée (min);Journée type;Semaine type;Plaisir (0-5);Retour Athlète;Commentaires;Niveau semaine;Séances clés;Message Envoyé ?
63;Mercredi;2026-09-09;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
63;Jeudi;2026-09-10;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
63;Vendredi;2026-09-11;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
63;Samedi;2026-09-12;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
63;Dimanche;2026-09-13;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
62;Lundi;2026-09-14;CAP;VC;VC : 2400m x 3 (effort 10:01, recup 04:51);2144;🟨;🔴;;;;;;
62;Mardi;2026-09-15;CAP;VC;VC : 2800m x 2 (effort 11:49, recup 05:40);1680;🟨;🔴;;;;;;
62;Mercredi;2026-09-16;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
62;Jeudi;2026-09-17;CAP;VC;VC : 1600m x 3 (effort 06:29, recup 03:14);1400;🟨;🔴;;;;;;
62;Vendredi;2026-09-18;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
62;Samedi;2026-09-19;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
62;Dimanche;2026-09-20;CAP;VC;VC : 2800m x 2 (effort 11:49, recup 05:40);1680;🟨;🔴;;;;;;
61;Lundi;2026-09-21;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
61;Mardi;2026-09-22;CAP;VMA;VMA : 2000m x 4 (effort 06:38, recup 02:57);1842;🟥;🔴;;;;;;
61;Mercredi;2026-09-23;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
61;Jeudi;2026-09-24;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
61;Vendredi;2026-09-25;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
61;Samedi;2026-09-26;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
61;Dimanche;2026-09-27;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
60;Lundi;2026-09-28;CAP;VC;VC : 2800m x 2 (effort 11:49, recup 05:40);1680;🟨;🔵;;;;;;
60;Mardi;2026-09-29;CAP;VC;VC : 1000m x 4 (effort 03:58, recup 02:01);1152;🟨;🔵;;;;;;
60;Mercredi;2026-09-30;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
60;Jeudi;2026-10-01;CAP;VC;VC : 2000m x 3 (effort 08:16, recup 04:03);1774;🟨;🔵;;;;;;
60;Vendredi;2026-10-02;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
60;Samedi;2026-10-03;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
60;Dimanche;2026-10-04;CAP;VC;VC : 1000m x 4 (effort 03:58, recup 02:01);1152;🟨;🔵;;;;;;
59;Lundi;2026-10-05;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
59;Mardi;2026-10-06;CAP;VMA;VMA : 2000m x 4 (effort 06:38, recup 02:57);1842;🟥;🔴;;;;;;
59;Mercredi;2026-10-07;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
59;Jeudi;2026-10-08;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
59;Vendredi;2026-10-09;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
59;Samedi;2026-10-10;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
59;Dimanche;2026-10-11;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
58;Lundi;2026-10-12;CAP;VC;VC : 1000m x 4 (effort 03:58, recup 02:01);1152;🟨;🔴;;;;;;
58;Mardi;2026-10-13;CAP;VC;VC : 1600m x 3 (effort 06:29, recup 03:14);1400;🟨;🔴;;;;;;
58;Mercredi;2026-10-14;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
58;Jeudi;2026-10-15;CAP;VC;VC : 2400m x 3 (effort 10:01, recup 04:51);2144;🟨;🔴;;;;;;
58;Vendredi;2026-10-16;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
58;Samedi;2026-10-17;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
58;Dimanche;2026-10-18;CAP;VC;VC : 1600m x 3 (effort 06:29, recup 03:14);1400;🟨;🔴;;;;;;
57;Lundi;2026-10-19;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
57;Mardi;2026-10-20;CAP;VMA;VMA : 2000m x 4 (effort 06:38, recup 02:57);1842;🟥;🔴;;;;;;
57;Mercredi;2026-10-21;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
57;Jeudi;2026-10-22;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
57;Vendredi;2026-10-23;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
57;Samedi;2026-10-24;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
57;Dimanche;2026-10-25;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
56;Lundi;2026-10-26;CAP;VC;VC : 1600m x 3 (effort 06:29, recup 03:14);1400;🟨;🔵;;;;;;
56;Mardi;2026-10-27;CAP;VC;VC : 2000m x 3 (effort 08:16, recup 04:03);1774;🟨;🔵;;;;;;
56;Mercredi;2026-10-28;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
56;Jeudi;2026-10-29;CAP;VC;VC : 2800m x 2 (effort 11:49, recup 05:40);1680;🟨;🔵;;;;;;
56;Vendredi;2026-10-30;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
56;Samedi;2026-10-31;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
56;Dimanche;2026-11-01;CAP;VC;VC : 2000m x 3 (effort 08:16, recup 04:03);1774;🟨;🔵;;;;;;
55;Lundi;2026-11-02;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
55;Mardi;2026-11-03;CAP;VMA;VMA : 2000m x 4 (effort 06:38, recup 02:57);1842;🟥;🔴;;;;;;
55;Mercredi;2026-11-04;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
55;Jeudi;2026-11-05;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
55;Vendredi;2026-11-06;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
55;Samedi;2026-11-07;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
55;Dimanche;2026-11-08;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
54;Lundi;2026-11-09;CAP;VC;VC : 2000m x 3 (effort 08:16, recup 04:03);1774;🟨;🔴;;;;;;
54;Mardi;2026-11-10;CAP;VC;VC : 2400m x 3 (effort 10:01, recup 04:51);2144;🟨;🔴;;;;;;
54;Mercredi;2026-11-11;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
54;Jeudi;2026-11-12;CAP;VC;VC : 1000m x 4 (effort 03:58, recup 02:01);1152;🟨;🔴;;;;;;
54;Vendredi;2026-11-13;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
54;Samedi;2026-11-14;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
54;Dimanche;2026-11-15;CAP;VC;VC : 2400m x 3 (effort 10:01, recup 04:51);2144;🟨;🔴;;;;;;
53;Lundi;2026-11-16;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
53;Mardi;2026-11-17;CAP;VMA;VMA : 2000m x 4 (effort 06:38, recup 02:57);1842;🟥;🔴;;;;;;
53;Mercredi;2026-11-18;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
53;Jeudi;2026-11-19;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
53;Vendredi;2026-11-20;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
53;Samedi;2026-11-21;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
53;Dimanche;2026-11-22;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
52;Lundi;2026-11-23;CAP;VC;VC : 2400m x 3 (effort 10:01, recup 04:51);2144;🟨;🔵;;;;;;
52;Mardi;2026-11-24;CAP;VC;VC : 2800m x 2 (effort 11:49, recup 05:40);1680;🟨;🔵;;;;;;
52;Mercredi;2026-11-25;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
52;Jeudi;2026-11-26;CAP;VC;VC : 1600m x 3 (effort 06:29, recup 03:14);1400;🟨;🔵;;;;;;
52;Vendredi;2026-11-27;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
52;Samedi;2026-11-28;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
52;Dimanche;2026-11-29;CAP;VC;VC : 2800m x 2 (effort 11:49, recup 05:40);1680;🟨;🔵;;;;;;
51;Lundi;2026-11-30;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
51;Mardi;2026-12-01;CAP;VMA;VMA : 700m x 6 (effort 02:10, recup 01:02);1387;🟥;🔴;;;;;;
51;Mercredi;2026-12-02;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
51;Jeudi;2026-12-03;CAP;VMA;VMA : 300m x 12 (effort 00:53, recup 00:26);1156;🟥;🔴;;;;;;
51;Vendredi;2026-12-04;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
51;Samedi;2026-12-05;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
51;Dimanche;2026-12-06;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
50;Lundi;2026-12-07;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔴;;;;;;
50;Mardi;2026-12-08;CAP;VC;VC : 400m x 7 (effort 01:25, recup 00:48);1124;🟨;🔴;;;;;;
50;Mercredi;2026-12-09;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
50;Jeudi;2026-12-10;CAP;VC;VC : 600m x 5 (effort 02:12, recup 01:12);1233;🟨;🔴;;;;;;
50;Vendredi;2026-12-11;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
50;Samedi;2026-12-12;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
50;Dimanche;2026-12-13;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔴;;;;;;
49;Lundi;2026-12-14;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
49;Mardi;2026-12-15;CAP;VMA;VMA : 700m x 6 (effort 02:10, recup 01:02);1387;🟥;🔴;;;;;;
49;Mercredi;2026-12-16;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
49;Jeudi;2026-12-17;CAP;VMA;VMA : 300m x 12 (effort 00:53, recup 00:26);1156;🟥;🔴;;;;;;
49;Vendredi;2026-12-18;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
49;Samedi;2026-12-19;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
49;Dimanche;2026-12-20;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
48;Lundi;2026-12-21;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔵;;;;;;
48;Mardi;2026-12-22;CAP;VC;VC : 400m x 7 (effort 01:25, recup 00:48);1124;🟨;🔵;;;;;;
48;Mercredi;2026-12-23;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
48;Jeudi;2026-12-24;CAP;VC;VC : 600m x 5 (effort 02:12, recup 01:12);1233;🟨;🔵;;;;;;
48;Vendredi;2026-12-25;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
48;Samedi;2026-12-26;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
48;Dimanche;2026-12-27;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔵;;;;;;
47;Lundi;2026-12-28;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
47;Mardi;2026-12-29;CAP;VMA;VMA : 700m x 6 (effort 02:10, recup 01:02);1387;🟥;🔴;;;;;;
47;Mercredi;2026-12-30;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
47;Jeudi;2026-12-31;CAP;VMA;VMA : 300m x 12 (effort 00:53, recup 00:26);1156;🟥;🔴;;;;;;
47;Vendredi;2027-01-01;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
47;Samedi;2027-01-02;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
47;Dimanche;2027-01-03;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
46;Lundi;2027-01-04;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔴;;;;;;
46;Mardi;2027-01-05;CAP;VC;VC : 400m x 7 (effort 01:25, recup 00:48);1124;🟨;🔴;;;;;;
46;Mercredi;2027-01-06;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
46;Jeudi;2027-01-07;CAP;VC;VC : 600m x 5 (effort 02:12, recup 01:12);1233;🟨;🔴;;;;;;
46;Vendredi;2027-01-08;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
46;Samedi;2027-01-09;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
46;Dimanche;2027-01-10;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔴;;;;;;
45;Lundi;2027-01-11;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
45;Mardi;2027-01-12;CAP;VMA;VMA : 700m x 6 (effort 02:10, recup 01:02);1387;🟥;🔴;;;;;;
45;Mercredi;2027-01-13;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
45;Jeudi;2027-01-14;CAP;VMA;VMA : 300m x 12 (effort 00:53, recup 00:26);1156;🟥;🔴;;;;;;
45;Vendredi;2027-01-15;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
45;Samedi;2027-01-16;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
45;Dimanche;2027-01-17;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
44;Lundi;2027-01-18;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔵;;;;;;
44;Mardi;2027-01-19;CAP;VC;VC : 400m x 7 (effort 01:25, recup 00:48);1124;🟨;🔵;;;;;;
44;Mercredi;2027-01-20;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
44;Jeudi;2027-01-21;CAP;VC;VC : 600m x 5 (effort 02:12, recup 01:12);1233;🟨;🔵;;;;;;
44;Vendredi;2027-01-22;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
44;Samedi;2027-01-23;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
44;Dimanche;2027-01-24;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔵;;;;;;
43;Lundi;2027-01-25;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
43;Mardi;2027-01-26;CAP;VMA;VMA : 700m x 6 (effort 02:10, recup 01:02);1387;🟥;🔴;;;;;;
43;Mercredi;2027-01-27;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
43;Jeudi;2027-01-28;CAP;VMA;VMA : 300m x 12 (effort 00:53, recup 00:26);1156;🟥;🔴;;;;;;
43;Vendredi;2027-01-29;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
43;Samedi;2027-01-30;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
43;Dimanche;2027-01-31;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
42;Lundi;2027-02-01;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔴;;;;;;
42;Mardi;2027-02-02;CAP;VC;VC : 400m x 7 (effort 01:25, recup 00:48);1124;🟨;🔴;;;;;;
42;Mercredi;2027-02-03;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
42;Jeudi;2027-02-04;CAP;VC;VC : 600m x 5 (effort 02:12, recup 01:12);1233;🟨;🔴;;;;;;
42;Vendredi;2027-02-05;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
42;Samedi;2027-02-06;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
42;Dimanche;2027-02-07;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔴;;;;;;
41;Lundi;2027-02-08;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
41;Mardi;2027-02-09;CAP;VMA;VMA : 700m x 6 (effort 02:10, recup 01:02);1387;🟥;🔴;;;;;;
41;Mercredi;2027-02-10;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
41;Jeudi;2027-02-11;CAP;VMA;VMA : 300m x 12 (effort 00:53, recup 00:26);1156;🟥;🔴;;;;;;
41;Vendredi;2027-02-12;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
41;Samedi;2027-02-13;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
41;Dimanche;2027-02-14;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
40;Lundi;2027-02-15;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔵;;;;;;
40;Mardi;2027-02-16;CAP;VC;VC : 400m x 7 (effort 01:25, recup 00:48);1124;🟨;🔵;;;;;;
40;Mercredi;2027-02-17;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
40;Jeudi;2027-02-18;CAP;VC;VC : 600m x 5 (effort 02:12, recup 01:12);1233;🟨;🔵;;;;;;
40;Vendredi;2027-02-19;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
40;Samedi;2027-02-20;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
40;Dimanche;2027-02-21;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔵;;;;;;
39;Lundi;2027-02-22;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
39;Mardi;2027-02-23;CAP;VMA;VMA : 700m x 6 (effort 02:10, recup 01:02);1387;🟥;🔴;;;;;;
39;Mercredi;2027-02-24;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
39;Jeudi;2027-02-25;CAP;VMA;VMA : 300m x 12 (effort 00:53, recup 00:26);1156;🟥;🔴;;;;;;
39;Vendredi;2027-02-26;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
39;Samedi;2027-02-27;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
39;Dimanche;2027-02-28;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
38;Lundi;2027-03-01;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔴;;;;;;
38;Mardi;2027-03-02;CAP;VC;VC : 400m x 7 (effort 01:25, recup 00:48);1124;🟨;🔴;;;;;;
38;Mercredi;2027-03-03;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
38;Jeudi;2027-03-04;CAP;VC;VC : 600m x 5 (effort 02:12, recup 01:12);1233;🟨;🔴;;;;;;
38;Vendredi;2027-03-05;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
38;Samedi;2027-03-06;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
38;Dimanche;2027-03-07;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔴;;;;;;
37;Lundi;2027-03-08;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
37;Mardi;2027-03-09;CAP;VMA;VMA : 700m x 6 (effort 02:10, recup 01:02);1387;🟥;🔴;;;;;;
37;Mercredi;2027-03-10;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
37;Jeudi;2027-03-11;CAP;VMA;VMA : 300m x 12 (effort 00:53, recup 00:26);1156;🟥;🔴;;;;;;
37;Vendredi;2027-03-12;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
37;Samedi;2027-03-13;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
37;Dimanche;2027-03-14;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
36;Lundi;2027-03-15;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔵;;;;;;
36;Mardi;2027-03-16;CAP;VC;VC : 400m x 7 (effort 01:25, recup 00:48);1124;🟨;🔵;;;;;;
36;Mercredi;2027-03-17;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
36;Jeudi;2027-03-18;CAP;VC;VC : 600m x 5 (effort 02:12, recup 01:12);1233;🟨;🔵;;;;;;
36;Vendredi;2027-03-19;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
36;Samedi;2027-03-20;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
36;Dimanche;2027-03-21;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔵;;;;;;
35;Lundi;2027-03-22;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
35;Mardi;2027-03-23;CAP;VMA;VMA : 700m x 6 (effort 02:10, recup 01:02);1387;🟥;🔴;;;;;;
35;Mercredi;2027-03-24;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
35;Jeudi;2027-03-25;CAP;VMA;VMA : 300m x 12 (effort 00:53, recup 00:26);1156;🟥;🔴;;;;;;
35;Vendredi;2027-03-26;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
35;Samedi;2027-03-27;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
35;Dimanche;2027-03-28;CAP;VMA;VMA : 600m x 7 (effort 01:50, recup 00:53);1377;🟥;🔴;;;;;;
34;Lundi;2027-03-29;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔴;;;;;;
34;Mardi;2027-03-30;CAP;VC;VC : 400m x 7 (effort 01:25, recup 00:48);1124;🟨;🔴;;;;;;
34;Mercredi;2027-03-31;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
34;Jeudi;2027-04-01;CAP;VC;VC : 600m x 5 (effort 02:12, recup 01:12);1233;🟨;🔴;;;;;;
34;Vendredi;2027-04-02;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
34;Samedi;2027-04-03;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
34;Dimanche;2027-04-04;CAP;VC;VC : 300m x 10 (effort 01:01, recup 00:36);1179;🟨;🔴;;;;;;
